question,answer,question_arm,answer_arm
what language do denmark?,The official language of Denmark is Danish.,ինչ լեզուներ են դանիացիները,Դանիայի պաշտոնական լեզուն դանիերենն է։
where marie curie come from?,Marie Curie came from Poland.,որտեղից է գալիս Մարի Կյուրին:,Մարի Կյուրին եկել է Լեհաստանից։
who is facebook's founder?,Mark Zuckerberg.,ով է Facebook-ի հիմնադիրը,Մարկ Ցուկերբերգը.
what kind of money do you use in aruba?,Aruba uses the Aruban florin as its currency.,ինչ փող եք օգտագործում Արուբայում:,Արուբան որպես արժույթ օգտագործում է Արուբանի ֆլորինը։
what language do people speak in costa rica?,The official language spoken in Costa Rica is Spanish.,ինչ լեզվով են խոսում Կոստա Ռիկայում:,Կոստա Ռիկայում խոսվող պաշտոնական լեզուն իսպաներենն է։
what kind of music does john mayer play?,"John Mayer plays a mix of pop, rock, blues, and folk music.",ինչ երաժշտություն է նվագում Ջոն Մայերը,"Ջոն Մայերը նվագում է փոփ, ռոք, բլյուզ և ֆոլկ երաժշտության միքս:"
what is lil wayne real name?,Lil Wayne's real name is Dwayne Michael Carter Jr.,ինչ է Լիլ Ուեյնի իրական անունը:,Լիլ Ուեյնի իսկական անունը Դուեյն Մայքլ Քարթեր կրտսեր է։
what is the political system of the us?,The political system of the US is a federal presidential constitutional republic.,ինչպիսի՞ն է մեր քաղաքական համակարգը.,ԱՄՆ-ի քաղաքական համակարգը դաշնային նախագահական սահմանադրական հանրապետություն է։
what religions are practiced in afghanistan?,The main religion practiced in Afghanistan is Islam.,ինչ կրոններ են դավանում Աֆղանստանում:,Աֆղանստանում կիրառվող հիմնական կրոնը իսլամն է։
where is the world series 2012 being played?,"The World Series 2012 was played at Comerica Park in Detroit, Michigan and AT&T Park in San Francisco, California.",որտեղ է ցուցադրվում 2012 համաշխարհային սերիալը.,"World Series 2012-ը անցկացվել է Կոմերիկա Պարկում Դեթրոյթում, Միչիգան ​​և AT&T Park Սան Ֆրանցիսկոյում, Կալիֆորնիա:"
what kind of language do irish speak?,"Irish people speak the Irish language, also known as Gaelic.",ինչ լեզվով են խոսում իռլանդերենը,"Իռլանդացիները խոսում են իռլանդական լեզվով, որը նաև հայտնի է որպես գելերեն։"
what cancer did audrey hepburn died of?,Audrey Hepburn died of appendiceal cancer,Ինչ քաղցկեղից է մահացել Օդրի Հեփբերնը:,Օդրի Հեփբերնը մահացել է կույր աղիքի քաղցկեղից
where does allen iverson live now?,"I'm sorry, I don't have access to personal information about individuals unless it has been shared with me in the course of our conversation.",որտեղ է այժմ ապրում Ալեն Այվերսոնը,"Ներողություն եմ խնդրում, ես չունեմ անհատների մասին անձնական տեղեկություններ, քանի դեռ դրանք չեն կիսվել ինձ հետ մեր զրույցի ընթացքում:"
where was dwight howard born?,"Dwight Howard was born in Atlanta, Georgia, United States.",որտեղ է ծնվել Դուայթ Հովարդը,"Դուայթ Հովարդը ծնվել է Ատլանտայում, Ջորջիա, ԱՄՆ։"
where do guyanese people live?,"Guyanese people live primarily in Guyana, which is located on the northeastern coast of South America.",որտեղ են ապրում գայանցիները,"Գայանցիները հիմնականում ապրում են Գայանա քաղաքում, որը գտնվում է Հարավային Ամերիկայի հյուսիսարևելյան ափին։"
what timezone is texas san antonio in?,"Texas, San Antonio is located in the Central Time Zone (CT).",Ո՞ր ժամային գոտում է գտնվում Տեխաս Սան Անտոնիոն:,"Տեխաս, Սան Անտոնիո գտնվում է Կենտրոնական ժամային գոտում (CT):"
where is alexandria located?,Alexandria is located in Egypt.,որտեղ է գտնվում Ալեքսանդրիան,Ալեքսանդրիան գտնվում է Եգիպտոսում։
who was the fascist dictator of germany?,Adolf Hitler.,ով էր Գերմանիայի ֆաշիստ դիկտատորը.,Ադոլֆ Հիտլեր.
what is australian currency?,Australian currency is the Australian Dollar (AUD).,ինչ է ավստրալիական արժույթը:,Ավստրալիայի արժույթը Ավստրալիական դոլարն է (AUD):
what did michelle obama do?,"Michelle Obama is an American lawyer, author, and former First Lady of the United States.",ինչ արեց Միշել Օբաման,"Միշել Օբաման ամերիկացի իրավաբան է, հեղինակ և Միացյալ Նահանգների նախկին առաջին տիկին:"
what team does chris humphrey play for?,Chris Humphrey currently does not play for any team.,Ո՞ր թիմում է խաղում Քրիս Համֆրին:,Քրիս Համֆրին ներկայումս չի խաղում ոչ մի թիմում։
where do most chinese live?,Most Chinese live in China.,որտեղ են ապրում չինացիների մեծ մասը:,Չինացիների մեծ մասն ապրում է Չինաստանում:
when did the raiders win the superbowl?,"The Raiders won the Super Bowl in 1981, 1977, and 1976.",Ե՞րբ են ռեյդերները հաղթել սուպերգավաթը:,"The Raiders-ը հաղթել է Super Bowl-ը 1981, 1977 և 1976 թվականներին:"
where is the euro used?,The euro is used in 19 European Union countries.,որտեղ է օգտագործվում եվրոն,Եվրոն օգտագործվում է Եվրամիության 19 երկրներում։
how rich is the roman catholic church?,The exact wealth of the Roman Catholic Church is not known as it is difficult to determine its net worth.,որքան հարուստ է Հռոմի կաթոլիկ եկեղեցին:,"Հռոմեական կաթոլիկ եկեղեցու ճշգրիտ հարստությունը հայտնի չէ, քանի որ դժվար է որոշել նրա զուտ արժեքը:"
what year is it going to be on the jewish calendar?,The current Jewish year is 5781.,Ո՞ր տարին է լինելու հրեական օրացույցում:,Ներկայիս հրեական տարին 5781 է։
where did pixie lott go to school?,Pixie Lott attended Italia Conti Academy of Theatre Arts.,որտեղ էր Փիքսի Լոտը դպրոց հաճախում:,Պիքսի Լոտը հաճախել է Իտալիայի Կոնտիի թատերական արվեստի ակադեմիա:
what date did we invade iraq?,"The invasion of Iraq began on March 20, 2003.",ո՞ր ամսաթվին մենք ներխուժեցինք Իրաք,Իրաքի ներխուժումը սկսվել է 2003 թվականի մարտի 20-ին։
what is the new orleans hornets new name?,The New Orleans Hornets changed their name to the New Orleans Pelicans.,ինչ է New Orleans Hornets նոր անունը:,New Orleans Hornets-ը փոխել է իր անունը՝ դառնալով New Orleans Pelicans:
what did darry look like?,"Darry was tall, muscular, and had dark hair.",ինչ տեսք ուներ Դարին,"Դարրին բարձրահասակ էր, մկանուտ և ուներ մուգ մազեր։"
who is hugh hefner dating now in 2012?,"In 2012, Hugh Hefner was dating Crystal Harris.",ով է Հյու Հեֆները հանդիպում այժմ 2012 թվականին:,2012 թվականին Հյու Հեֆները հանդիպում էր Քրիսթալ Հարիսի հետ։
what do the buddha believe in?,Buddha believed in the Four Noble Truths and the Eightfold Path.,ինչին է հավատում Բուդդան,Բուդդան հավատում էր Չորս ազնիվ ճշմարտություններին և ութապատիկ ուղուն:
when did braves win the world series?,The Atlanta Braves won the World Series in 1995.,Ե՞րբ են քաջերը հաղթել համաշխարհային շարքում:,Ատլանտա Բրեյվսը հաղթել է աշխարհի առաջնությունը 1995 թվականին:
what is the name of walt disney's son?,Walt Disney's son's name is Roy E. Disney.,ինչ է Ուոլթ Դիսնեյի որդու անունը:,Ուոլթ Դիսնեյի որդու անունը Ռոյ Է. Դիսնեյ է:
what are some sights to see in rome?,"The Colosseum, Vatican City, Trevi Fountain, and the Pantheon are some popular sights to see in Rome.",ինչ տեսարժան վայրեր կարելի է տեսնել Հռոմում:,"Կոլիզեյը, Վատիկանը, Տրևի շատրվանը և Պանթեոնը Հռոմի հայտնի տեսարժան վայրերից են:"
where is jack daniels tennessee whiskey made?,"Jack Daniel's Tennessee Whiskey is made in Lynchburg, Tennessee.",որտեղ է պատրաստվում Ջեք Դանիելս Թենեսի վիսկին:,Jack Daniel's Tennessee վիսկին պատրաստվում է Թենեսի նահանգի Լինչբուրգ քաղաքում:
what is the battle of antietam?,"The Battle of Antietam was a significant battle in the American Civil War which took place on September 17, 1862, near Sharpsburg, Maryland.",ինչ է հակաէթամի ճակատամարտը:,"Անտիետամի ճակատամարտը նշանակալի ճակատամարտ էր Ամերիկայի քաղաքացիական պատերազմում, որը տեղի ունեցավ 1862 թվականի սեպտեմբերի 17-ին, Մերիլենդ նահանգի Շարփսբուրգի մոտակայքում:"
what time zone is it in london england?,"The time zone in London, England is Greenwich Mean Time (GMT) or British Summer Time (BST) during daylight saving time.",որ ժամային գոտին է Լոնդոն Անգլիայում:,Անգլիայի Լոնդոնի ժամային գոտին Գրինվիչի միջին ժամանակով (GMT) կամ բրիտանական ամառային ժամանակով (BST) է ամառային ժամանակին:
who was governor of texas in 2003?,Rick Perry was the governor of Texas in 2003.,ով էր Տեխասի նահանգապետը 2003թ.,Ռիկ Փերին Տեխասի նահանգապետն էր 2003 թվականին։
what is yale university mascot?,"The mascot of Yale University is the ""Yale bulldog.""",ինչ է Յեյլի համալսարանի թալիսմանը:,Յեյլի համալսարանի թալիսմանը «Յեյլի բուլդոգն» է։
what is the currency used in tunisia?,The currency used in Tunisia is the Tunisian Dinar.,ինչ արժույթ է օգտագործվում Թունիսում:,Թունիսում օգտագործվող արժույթը թունիսյան դինարն է։
what language group does polish belong to?,Polish belongs to the West Slavic language group.,Ո՞ր լեզվախմբին է պատկանում լեհերենը:,Լեհերենը պատկանում է արևմտյան սլավոնական լեզվախմբին։
what is the name of the new orleans saints football stadium?,The name of the New Orleans Saints football stadium is Mercedes-Benz Superdome.,ինչպես է կոչվում New Orleans Saints ֆուտբոլային մարզադաշտը:,New Orleans Saints ֆուտբոլային մարզադաշտի անունը Mercedes-Benz Superdome է։
what are five countries that border france?,"Spain, Belgium, Germany, Italy, Switzerland.",որո՞նք են Ֆրանսիային սահմանակից հինգ երկրները:,"Իսպանիա, Բելգիա, Գերմանիա, Իտալիա, Շվեյցարիա:"
where was hockey world cup 2010 held?,"The Hockey World Cup 2010 was held in New Delhi, India.",որտեղ է անցկացվել հոկեյի աշխարհի գավաթի 2010 թ.,Հնդկաստանի Նյու Դելի քաղաքում անցկացվել է հոկեյի աշխարհի գավաթի 2010 թ.
where did kaiser wilhelm fled to?,Kaiser Wilhelm fled to the Netherlands.,ո՞ւր փախավ կայզեր Վիլհելմը։,Կայզեր Վիլհելմը փախել է Նիդեռլանդներ։
when did yuvraj made his odi debut?,"Yuvraj Singh made his ODI debut on October 3, 2000.",Ե՞րբ է Յուվրաջը հանդես եկել իր դեբյուտով:,Յուվրաջ Սինգհը կատարել է իր դեբյուտը ODI-ում 2000 թվականի հոկտեմբերի 3-ին։
what type of music was scott joplin noted for?,Scott Joplin was noted for his ragtime music.,Ո՞ր երաժշտության համար է նշանավորվել Սքոթ Ջոպլինը:,Սքոթ Ջոփլինը հայտնի էր իր ռեգթայմ երաժշտությամբ։
where did sergio romo go to college?,Sergio Romo attended Arizona Western College.,որտեղ է Սերխիո Ռոմոն գնաց քոլեջ:,Սերխիո Ռոմոն հաճախել է Արիզոնայի արևմտյան քոլեջ:
what happened to peter parker's uncle?,Peter Parker's uncle was killed by a criminal he encountered while trying to apprehend him.,ինչ է պատահել Փիթեր Փարքերի հորեղբոր հետ.,"Փիթեր Փարքերի հորեղբայրը սպանվել է հանցագործի կողմից, որին նա հանդիպել է նրան ձերբակալելիս։"
where is adam smith from?,Adam Smith is from Scotland.,որտեղից է Ադամ Սմիթը,Ադամ Սմիթը Շոտլանդիայից է։
who became president after harding died?,Calvin Coolidge.,ով դարձավ նախագահ Հարդինգի մահից հետո:,Քելվին Քուլիջ.
in what city did machiavelli live?,Florence.,ո՞ր քաղաքում է ապրել Մաքիավելին.,Ֆլորենցիա.
what illnesses did george washington have?,"George Washington had various illnesses during his lifetime, including malaria, pneumonia, and pleurisy.",ինչ հիվանդություններ ուներ Ջորջ Վաշինգթոնը.,"Ջորջ Վաշինգտոնն իր կյանքի ընթացքում տարբեր հիվանդություններ ուներ՝ մալարիա, թոքաբորբ և պլերիտ:"
where is north port florida located?,"North Port, Florida is located in Sarasota County on the southwestern coast of the state.",որտեղ է գտնվում Հյուսիսային Պորտ Ֆլորիդան:,"Հյուսիսային Պորտ, Ֆլորիդա գտնվում է Սարասոտա կոմսությունում, նահանգի հարավ-արևմտյան ափին:"
who is jennifer lawrence boyfriend 2012?,No information available.,ով է Ջենիֆեր Լոուրենսի ընկերը 2012 թ.,Տեղեկություններ չկան:
who was the voice of kitt?,William Daniels.,ով էր Քիթի ձայնը,Ուիլյամ Դենիելս.
who is the speaker of the house of representatives currently?,Nancy Pelosi.,ով է ներկա պահին Ներկայացուցիչների պալատի խոսնակը.,Նենսի Փելոսի.
when did sean murray first appear on ncis?,Sean Murray first appeared on NCIS in the show's first season in 2003.,Ե՞րբ է Շոն Մյուրեյն առաջին անգամ հայտնվել ncis-ում:,Շոն Մյուրեյն առաջին անգամ հայտնվեց NCIS-ում շոուի առաջին սեզոնում 2003 թվականին։
who is abraham maslow?,Abraham Maslow was an American psychologist known for his theory of the hierarchy of needs and his contributions to the field of humanistic psychology.,ով է Աբրահամ Մասլոուն,"Աբրահամ Մասլոուն ամերիկացի հոգեբան էր, որը հայտնի էր կարիքների հիերարխիայի իր տեսությամբ և հումանիստական ​​հոգեբանության ոլորտում ունեցած ներդրումով:"
where did the cuban missile crisis happen?,The Cuban Missile Crisis took place in Cuba.,որտեղ է տեղի ունեցել Կուբայի հրթիռային ճգնաժամը:,Կուբայում տեղի է ունեցել Կուբայի հրթիռային ճգնաժամը.
what is benedict arnold famous for?,Benedict Arnold is famous for being a traitor during the American Revolutionary War.,ինչով է հայտնի Բենեդիկտ Առնոլդը.,Բենեդիկտ Առնոլդը հայտնի է որպես դավաճան ամերիկյան հեղափոխական պատերազմի ժամանակ։
where is the original mona lisa?,"The original Mona Lisa is currently housed in the Louvre Museum in Paris, France.",որտեղ է բնօրինակ Մոնա Լիզան:,"Մոնա Լիզայի բնօրինակը ներկայումս գտնվում է Փարիզի Լուվրի թանգարանում, Ֆրանսիա:"
what is jill wagner on wipeout?,Jill Wagner is the co-host of the television show Wipeout.,ինչ է Ջիլ Վագները wipeout-ում:,Ջիլ Վագները Wipeout հեռուստաշոուի համահաղորդավարն է:
what type of language does peru speak?,Spanish.,ինչ լեզվով է խոսում Պերուն:,իսպաներեն.
where is port lavaca tx?,"Port Lavaca, TX is located on the Gulf Coast of Texas in Calhoun County.",որտեղ է port lavaca tx?,"Port Lavaca, TX գտնվում է Տեխասի ծոցի ափին, Կալհուն կոմսությունում:"
which team does ronaldinho play for 2013?,"In 2013, Ronaldinho played for Atlético Mineiro in Brazil.",Ո՞ր թիմում է խաղում Ռոնալդինյոն 2013թ.,2013 թվականին Ռոնալդինյոն հանդես է եկել բրազիլական «Ատլետիկո Մինեյրոյում»:
what kind of books does nicholas sparks wrote?,Nicholas Sparks wrote romance novels.,ինչ գրքեր է գրել Նիկոլաս Սփարքսը:,Նիկոլաս Սփարկսը գրել է սիրավեպեր։
what happened to the people in chernobyl?,"Many people were exposed to high levels of radiation and suffered from acute radiation sickness. Some died shortly after the accident, while others experienced long-term health issues such as cancer and other related illnesses.",ինչ պատահեց մարդկանց հետ Չեռնոբիլում.,"Շատ մարդիկ ենթարկվել են ճառագայթման բարձր մակարդակի և տառապել են սուր ճառագայթային հիվանդությամբ: Ոմանք մահացել են դժբախտ պատահարից անմիջապես հետո, իսկ մյուսները ունեցել են երկարատև առողջական խնդիրներ, ինչպիսիք են քաղցկեղը և հարակից այլ հիվանդություններ:"
what countries has spanish as their official language?,"Spain and most countries in Latin America have Spanish as their official language. Some examples include Mexico, Colombia, Argentina, Peru, Chile, and Venezuela.",Ո՞ր երկրներում է իսպաներենը որպես պաշտոնական լեզու:,"Իսպանիան և Լատինական Ամերիկայի երկրների մեծ մասը ունեն իսպաներենը որպես իրենց պաշտոնական լեզու: Որոշ օրինակներ ներառում են Մեքսիկան, Կոլումբիան, Արգենտինան, Պերուն, Չիլին և Վենեսուելան:"
who was the communist dictator of north korea?,Kim Il-sung,ով էր Հյուսիսային Կորեայի կոմունիստ դիկտատորը.,Կիմ Իր Սունգ
who was the leader of germany in wwii?,Adolf Hitler.,ով էր Գերմանիայի առաջնորդը Wwii-ում:,Ադոլֆ Հիտլեր.
what business does raj kundra do?,"Raj Kundra is involved in various businesses, including real estate, retail, and entertainment.",ի՞նչ գործ է անում Ռաջ Կունդրան:,"Ռաջ Կունդրան ներգրավված է տարբեր բիզնեսներում, այդ թվում՝ անշարժ գույքի, մանրածախ առևտրի և զվարճանքի ոլորտներում:"
what movies is molly ringwald in?,"Molly Ringwald is known for her roles in movies such as ""Sixteen Candles,"" ""The Breakfast Club,"" and ""Pretty in Pink.""",ո՞ր ֆիլմերում է Մոլի Ռինգվոլդը,"Մոլլի Ռինգվալդը հայտնի է իր դերերով այնպիսի ֆիլմերում, ինչպիսիք են «Տասնվեց մոմեր», «Նախաճաշի ակումբ» և «Գեղեցիկ վարդագույնով»:"
what is the time zone in california called?,The time zone in California is called Pacific Standard Time (PST).,ինչպես է կոչվում ժամային գոտին Կալիֆորնիայում:,Կալիֆոռնիայի ժամային գոտին կոչվում է Խաղաղօվկիանոսյան ստանդարտ ժամանակ (PST):
what team does drogba play for 2013?,Drogba played for Galatasaray in 2013.,Ո՞ր թիմում է խաղում Դրոգբան 2013թ.,Դրոգբան «Գալաթասարայում» հանդես է եկել 2013 թվականին։
what did michael faraday accomplish?,"Michael Faraday discovered electromagnetic induction and conducted extensive research on electromagnetism, making significant contributions to the field of electrical engineering.",ի՞նչ է արել Մայքլ Ֆարադեյը:,Մայքլ Ֆարադեյը հայտնաբերեց էլեկտրամագնիսական ինդուկցիան և լայնածավալ հետազոտություններ կատարեց էլեկտրամագնիսականության վերաբերյալ՝ զգալի ներդրում ունենալով էլեկտրատեխնիկայի ոլորտում:
what was the name of the newspaper where hemingway wrote?,The name of the newspaper where Hemingway wrote was the Kansas City Star.,"ինչպես էր կոչվում այն ​​թերթը, որտեղ գրել էր Հեմինգուեյը:","Թերթի անունը, որտեղ գրել է Հեմինգուեյը, եղել է Kansas City Star-ը։"
who will alex smith play for in 2011?,Alex Smith will play for the San Francisco 49ers in 2011.,ո՞ւմ համար է խաղալու Ալեքս Սմիթը 2011թ.,Ալեքս Սմիթը 2011 թվականին հանդես կգա «Սան Ֆրանցիսկո 49երս»-ում:
what is the northeast of the united states?,"The northeast of the United States refers to the region that includes states such as New York, New Jersey, Pennsylvania, Massachusetts, and Connecticut.",ո՞րն է Միացյալ Նահանգների հյուսիս-արևելքը:,"Միացյալ Նահանգների հյուսիս-արևելքը վերաբերում է տարածաշրջանին, որը ներառում է այնպիսի նահանգներ, ինչպիսիք են Նյու Յորքը, Նյու Ջերսին, Փենսիլվանիան, Մասաչուսեթսը և Կոնեկտիկուտը:"
what does the dutch word boer mean?,"The Dutch word ""boer"" means ""farmer"" in English.",ի՞նչ է նշանակում հոլանդերեն boer բառը:,Հոլանդերեն «boer» բառը անգլերեն նշանակում է «ֆերմեր»:
what currency does brazil use?,Brazil uses the Brazilian real as its currency.,ինչ արժույթ է օգտագործում Բրազիլիան,Բրազիլիան որպես արժույթ օգտագործում է բրազիլական ռեալը։
what timezone does sweden have?,Sweden is in the Central European Time zone (CET).,ինչ ժամային գոտի ունի Շվեդիան:,Շվեդիան գտնվում է Կենտրոնական Եվրոպայի ժամային գոտում (CET):
who played lois en superman?,"In the Superman movies, Lois Lane was played by actress Margot Kidder.",ով խաղաց Լոյս Էն Սուպերմեն,Սուպերմենի ֆիլմերում Լոիս Լեյնին մարմնավորել է դերասանուհի Մարգո Քիդերը։
where does the zambezi river end?,The Zambezi River ends at the Indian Ocean.,որտեղ է ավարտվում Զամբեզի գետը:,Զամբեզի գետն ավարտվում է Հնդկական օվկիանոսում։
what did mister rogers do before tv?,"Before TV, Mister Rogers worked in various roles in the field of children's programming, including studying child development and working as a producer and puppeteer.",ի՞նչ էր անում պարոն Ռոջերսը հեռուստացույցից առաջ:,"Հեռուստատեսությունից առաջ պարոն Ռոջերսը տարբեր դերերում է աշխատել մանկական ծրագրերի ոլորտում, այդ թվում՝ ուսումնասիրել է երեխաների զարգացումը և աշխատել որպես պրոդյուսեր և տիկնիկավար։"
what is the money currency in switzerland?,The currency in Switzerland is the Swiss Franc (CHF).,ո՞րն է փողի արժույթը Շվեյցարիայում:,Շվեյցարիայի արժույթը շվեյցարական ֆրանկն է (CHF):
what state did george washington live in?,Virginia.,Ո՞ր նահանգում էր ապրում Ջորջ Վաշինգթոնը,Վիրջինիա.
where is mount vernon virginia?,"Mount Vernon, Virginia is located in Fairfax County, Virginia, United States.",որտեղ է Մաունթ Վերնոն Վիրջինիան:,"Մաունթ Վերնոն, Վիրջինիա, գտնվում է ԱՄՆ Վիրջինիա նահանգի Ֆեյրֆաքս շրջանում։"
where is kia car from?,Kia cars are from South Korea.,որտեղից է Kia մեքենան,Kia մեքենաները Հարավային Կորեայից են։
where did noah live before the flood?,Noah lived in the land before the flood.,որտե՞ղ է ապրել Նոյը ջրհեղեղից առաջ։,Նոյը ջրհեղեղից առաջ ապրում էր երկրում։
when did george w bush take office?,"George W. Bush took office on January 20, 2001.",Ե՞րբ է Ջորջ Բուշը ստանձնել պաշտոնը:,Ջորջ Բուշը պաշտոնավարել է 2001 թվականի հունվարի 20-ին։
where do the kansas city chiefs play?,The Kansas City Chiefs play at Arrowhead Stadium.,որտեղ են խաղում Կանզաս քաղաքի ղեկավարները:,Կանզաս Սիթի Չիֆսը խաղում է Էրոուհեդ մարզադաշտում:
what countries does the mississippi river run through?,The Mississippi River runs through the United States.,Ո՞ր երկրների միջով է անցնում Միսիսիպի գետը:,Միսիսիպի գետը հոսում է Միացյալ Նահանգներով։
in what modern country is the yucatan peninsula located?,Mexico.,Ո՞ր ժամանակակից երկրում է գտնվում Յուկատան թերակղզին:,Մեքսիկա.
what does starbucks sell?,"Starbucks sells coffee, tea, and various food items.",ինչ է վաճառում starbucks-ը,"Starbucks-ը վաճառում է սուրճ, թեյ և տարբեր սննդամթերք:"
who is lincoln steffens?,Lincoln Steffens was an American journalist and progressive thinker.,ով է Լինքոլն Ստեֆենսը,Լինքոլն Ստեֆենսը ամերիկացի լրագրող և առաջադեմ մտածող էր։
what type of political system does iran have?,Iran has a theocratic republic political system.,ինչպիսի՞ քաղաքական համակարգ ունի Իրանը.,Իրանն ունի աստվածապետական ​​հանրապետական ​​քաղաքական համակարգ։
who does the voice of lois in family guy?,Alex Borstein.,ով է լսում Լոիսի ձայնը ընտանիքի տղայի մեջ:,Ալեքս Բորշտեյն.
what are all the movies channing tatum has been in?,"Some movies Channing Tatum has been in include ""Magic Mike,"" ""Step Up,"" ""21 Jump Street,"" and ""Dear John.""","որո՞նք են այն բոլոր ֆիլմերը, որոնցում նկարահանվել է Չենինգ Թաթումը:","Որոշ ֆիլմեր, որոնցում նկարահանվել է Չենինգ Թաթումը, ներառում են «Magic Mike», «Step Up», «21 Jump Street» և «Dear John»:"
where is the country of panama located?,Panama is located in Central America.,որտեղ է գտնվում Պանամայի երկիրը:,Պանաման գտնվում է Կենտրոնական Ամերիկայում։
what state did woodrow wilson represent?,Woodrow Wilson represented the state of New Jersey.,ո՞ր պետությունն էր ներկայացնում Վուդրո Վիլսոնը:,Վուդրո Վիլսոնը ներկայացնում էր Նյու Ջերսի նահանգը։
what hardships did teddy roosevelt overcome?,Teddy Roosevelt overcame the hardship of being a sickly child and turned his weakness into strength through his determination and hard work.,ի՞նչ դժվարություններ է հաղթահարել Թեդի Ռուզվելտը:,Թեդի Ռուզվելտը հաղթահարեց հիվանդ երեխա լինելու դժվարությունը և իր թուլությունը ուժի վերածեց իր վճռականության և աշխատասիրության շնորհիվ:
where is university of alabama located?,"The University of Alabama is located in Tuscaloosa, Alabama.",որտեղ է գտնվում Ալաբամայի համալսարանը:,Ալաբամայի համալսարանը գտնվում է Ալաբամա նահանգի Տուսկալուսա քաղաքում:
who was arthur miller influenced by?,"Arthur Miller was influenced by Henrik Ibsen, a Norwegian playwright known for his realistic dramas and social criticism.",ում կողմից է ազդվել Արթուր Միլլերը,"Արթուր Միլլերը կրել է նորվեգացի դրամատուրգ Հենրիկ Իբսենի ազդեցությունը, որը հայտնի է իր ռեալիստական ​​դրամաներով և սոցիալական քննադատությամբ։"
which countries use euro money?,"The countries that use the euro as their currency are Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, Slovakia, Slovenia, and Spain.",ո՞ր երկրներն են օգտագործում եվրո փողերը,"Եվրոն որպես արժույթ օգտագործող երկրներն են Ավստրիան, Բելգիան, Կիպրոսը, Էստոնիան, Ֆինլանդիան, Ֆրանսիան, Գերմանիան, Հունաստանը, Իռլանդիան, Իտալիան, Լատվիան, Լիտվան, Լյուքսեմբուրգը, Մալթան, Նիդեռլանդները, Պորտուգալիան, Սլովակիան, Սլովենիան և Իսպանիան:"
where is el salvador located?,El Salvador is located in Central America.,որտեղ է գտնվում Սալվադորը:,Էլ Սալվադորը գտնվում է Կենտրոնական Ամերիկայում։
what year was kevin durant drafted?,Kevin Durant was drafted in 2007.,Ո՞ր տարում է զորակոչվել Կևին Դյուրանտը:,Քևին Դյուրանտը զորակոչվել է 2007 թվականին։
what illnesses did george washington suffer from?,"George Washington suffered from illnesses such as malaria, dysentery, pneumonia, and tuberculosis.",ինչ հիվանդություններով է տառապել Ջորջ Վաշինգթոնը.,"Ջորջ Վաշինգտոնը տառապում էր այնպիսի հիվանդություններից, ինչպիսիք են մալարիան, դիզենտերիան, թոքաբորբը և տուբերկուլյոզը:"
what are some places to visit in barcelona?,"Some places to visit in Barcelona are La Sagrada Familia, Park Güell, Gothic Quarter, Casa Batlló, and Camp Nou.",ինչ վայրեր կարելի է այցելել Բարսելոնայում:,"Բարսելոնայում այցելելու որոշ վայրեր են՝ La ​​Sagrada Familia, Park Güell, Gothic Quarter, Casa Batlló և Camp Nou:"
what happened to nina simone?,"Nina Simone passed away on April 21, 2003.",ինչ պատահեց Նինա Սիմոնեին,Նինա Սիմոնեն մահացել է 2003 թվականի ապրիլի 21-ին։
where is wellsville missouri?,"Wellsville, Missouri is located in Montgomery County.",որտեղ է Wellsville Missouri?,"Ուելսվիլ, Միսսուրի գտնվում է Մոնտգոմերի կոմսությունում։"
who played princess leia from star wars?,Carrie Fisher.,ով է խաղացել արքայադուստր Լեյային աստղային պատերազմներից:,Քերի Ֆիշեր.
who is the current queen of australia?,The current queen of Australia is Queen Elizabeth II.,ով է Ավստրալիայի ներկայիս թագուհին,Ավստրալիայի ներկայիս թագուհին Էլիզաբեթ II թագուհին է։
where did galileo go to school?,Galileo went to school at the University of Pisa.,որտե՞ղ գնաց Գալիլեոն դպրոց:,Գալիլեոն սովորել է Պիզայի համալսարանում:
who all was richard burton married to?,Richard Burton was married to Elizabeth Taylor and Sybil Williams.,ո՞ւմ հետ էր ամուսնացած Ռիչարդ Բերթոնը:,Ռիչարդ Բարթոնն ամուսնացած էր Էլիզաբեթ Թեյլորի և Սիբիլ Ուիլյամսի հետ։
who did david villa play for?,"David Villa played for several clubs during his career including Sporting Gijón, Real Zaragoza, Valencia, Barcelona, Atletico Madrid, New York City FC, and Vissel Kobe.",ո՞ւմ համար է խաղացել Դեյվիդ Վիլլան,"Դավիդ Վիլյան իր կարիերայի ընթացքում խաղացել է մի քանի ակումբներում, այդ թվում՝ Սպորտինգ Խիխոն, Ռեալ Սարագոսա, Վալենսիա, Բարսելոնա, Ատլետիկո Մադրիդ, Նյու Յորք Սիթի ՖԱ և Վիսել Կոբե։"
what did copernicus invented?,Copernicus invented the heliocentric model of the solar system.,ի՞նչ է հորինել Կոպեռնիկոսը:,Կոպեռնիկոսը հորինել է արեգակնային համակարգի հելիոկենտրոն մոդելը։
what's jamaica country code?,The country code for Jamaica is +1.,ինչ է Ջամայկա երկրի կոդը:,Ջամայկայի երկրի կոդը +1 է:
